ID,Tahun,Bulan,NamaBulan,t_Waktu,D_Ramadhan,D_AkhirTahun,D_Pandemi,Indeks_PembatasanSosial,D_BBM_Naik,HargaMinyakDunia_USD,D_Geopolitik_RusiaUkraina,HargaJual_Rp000,BiayaProduksi_Rp000,HargaBahanBaku_Rp000,BiayaPromosi_Juta,JumlahKaryawan,JumlahCabang,JumlahTransaksiOnline,InflasiBulanan_Persen,SukuBungaBI_Persen,JumlahKompetitor,IndeksKepuasanPelanggan,CurahHujan_mm,RatingAplikasi,Omzet_Juta,Keterangan
26,2018,2,Februari,26,0,0,0,0.0,0,65.54,0,51.36,44.07,25.95,12.26,20,4,0,0.29,4.52,3,6.2,163.0,3.93,401.44,
27,2018,3,Maret,27,0,0,0,1.3,0,62.22,0,60.65,51.98,30.7,8.02,15,4,15,0.37,4.65,7,6.6,141.8,3.68,376.14,
28,2018,4,April,28,0,0,0,0.9,0,62.06,0,54.38,47.82,27.11,9.99,19,4,19,0.37,4.82,11,7.7,277.1,3.86,399.68,
29,2018,5,Mei,29,1,0,0,1.0,0,60.41,0,51.15,43.28,23.49,9.73,18,4,0,0.42,5.04,4,8.7,287.9,4.25,421.81,
30,2018,6,Juni,30,0,0,0,1.1,0,59.5,0,54.44,45.11,23.85,10.91,17,4,17,0.21,5.13,6,7.6,164.7,4.26,558.68,Outlier: lonjakan omzet tak wajar (contoh: event/promo viral)
31,2018,7,Juli,31,0,0,0,5.4,0,56.59,0,47.8,42.06,22.67,11.66,21,4,19,0.14,5.26,5,7.9,0.0,4.37,416.47,
32,2018,8,Agustus,32,0,0,0,0.0,0,58.95,0,52.15,46.58,25.18,9.18,23,4,0,0.32,5.35,10,6.6,235.6,4.09,399.43,
33,2018,9,September,33,0,0,0,0.0,0,56.96,0,53.34,45.44,23.55,12.75,24,4,0,0.28,5.46,6,8.4,230.0,4.68,466.74,
34,2018,10,Oktober,34,0,0,0,0.0,0,62.78,0,53.37,44.69,27.01,11.53,22,4,0,0.37,5.68,11,7.9,207.8,4.87,431.64,
35,2018,11,November,35,0,1,0,1.5,0,60.47,0,56.07,48.03,28.27,7.72,19,4,12,0.46,5.85,5,8.6,268.3,3.87,483.41,
36,2018,12,Desember,36,0,1,0,2.8,0,56.16,0,54.36,46.35,26.09,7.68,20,4,17,0.41,6.11,3,8.8,75.2,4.6,453.49,
37,2019,1,Januari,37,0,0,0,0.0,0,53.63,0,55.27,47.08,24.08,11.68,21,4,0,0.31,5.92,8,7.0,360.8,4.52,435.13,
38,2019,2,Februari,38,0,0,0,0.0,0,53.5,0,51.01,42.77,23.47,11.36,20,4,12,0.27,5.89,8,6.3,93.7,4.28,420.91,
39,2019,3,Maret,39,0,0,0,0.0,0,61.32,0,56.89,49.4,27.99,11.69,20,4,23,0.3,5.72,11,6.7,247.4,3.78,460.69,
40,2019,4,April,40,0,0,0,1.6,0,59.45,0,59.16,51.22,28.54,11.94,22,4,24,0.19,5.6,10,7.3,28.1,4.69,474.77,
41,2019,5,Mei,41,1,0,0,1.9,0,61.02,0,51.09,42.94,25.01,12.55,19,5,41,0.32,5.53,10,8.8,96.3,4.94,521.3,
42,2019,6,Juni,42,0,0,0,1.4,0,55.27,0,50.93,44.06,24.2,14.1,18,6,37,0.27,5.46,8,7.1,316.5,4.58,474.11,
43,2019,7,Juli,43,0,0,0,0.0,0,64.2,0,58.95,52.35,30.12,10.08,19,7,0,0.34,5.54,6,8.3,156.5,4.88,479.14,
44,2019,8,Agustus,44,0,0,0,0.6,0,63.7,0,54.12,46.85,26.92,10.06,22,7,45,0.24,5.28,6,7.6,255.6,4.98,527.1,
45,2019,9,September,45,0,0,0,0.3,0,59.92,0,58.99,50.49,28.1,10.31,20,7,6,0.29,5.3,4,6.5,201.3,4.03,528.26,
46,2019,10,Oktober,46,0,0,0,0.5,0,62.75,0,53.43,45.99,23.9,13.18,21,8,35,0.25,5.11,6,7.0,170.6,4.46,575.73,
47,2019,11,November,47,0,1,0,2.2,0,65.87,0,59.88,52.22,29.63,15.19,22,8,18,0.36,5.14,6,8.0,302.7,4.21,610.31,
48,2019,12,Desember,48,0,1,0,0.6,0,66.16,0,55.78,47.06,26.19,11.94,19,8,9,0.43,5.02,3,8.0,158.7,4.98,551.01,
49,2020,1,Januari,49,0,0,0,1.7,0,59.62,0,55.69,47.99,25.06,7.9,22,8,0,-0.06,4.89,4,7.3,19.7,3.64,522.64,
50,2020,2,Februari,50,0,0,0,2.2,0,54.69,0,59.53,50.66,28.8,9.59,21,8,15,-0.0,4.79,7,6.7,107.7,4.12,563.9,
51,2020,3,Maret,51,0,0,1,35.7,0,36.74,0,51.85,44.72,23.07,11.43,16,8,1,-0.02,4.65,6,8.2,229.6,4.81,473.78,
52,2020,4,April,52,1,0,1,83.6,0,20.46,0,48.63,39.72,17.67,12.08,22,8,64,-0.01,4.61,11,6.5,215.6,3.93,561.81,
53,2020,5,Mei,53,0,0,1,81.4,0,28.29,0,51.01,43.45,19.71,12.48,17,8,74,0.05,4.45,7,8.8,39.0,4.68,455.29,
54,2020,6,Juni,54,0,0,1,54.2,0,20.05,0,53.25,43.03,19.42,13.48,15,8,33,0.16,4.3,11,6.6,114.8,4.07,495.15,
55,2020,7,Juli,55,0,0,1,40.8,0,30.91,0,47.87,40.13,18.01,12.88,17,8,53,0.08,4.19,8,6.3,127.6,4.97,527.54,
56,2020,8,Agustus,56,0,0,1,36.4,0,36.03,0,55.48,46.74,22.55,15.7,17,8,35,0.12,4.18,3,7.5,147.1,4.83,507.86,
57,2020,9,September,57,0,0,1,44.3,0,40.26,0,52.2,43.3,19.96,12.35,20,8,37,0.19,4.16,4,7.6,56.2,3.95,530.77,
58,2020,10,Oktober,58,0,0,1,43.7,0,42.13,0,57.86,48.99,24.84,12.08,19,8,63,0.21,3.97,9,7.5,123.4,4.66,547.31,
59,2020,11,November,59,0,1,1,35.8,0,41.85,0,46.6,40.02,19.53,14.86,19,8,49,0.17,3.85,7,7.3,114.4,4.01,573.46,
60,2020,12,Desember,60,0,1,1,44.4,0,51.98,0,52.76,44.75,22.19,10.93,21,8,82,0.29,3.77,5,9.0,249.4,4.41,582.13,
61,2021,1,Januari,61,0,0,1,50.8,0,58.43,0,50.56,42.22,22.95,14.88,21,8,42,0.16,3.81,7,7.5,252.8,4.49,539.9,
62,2021,2,Februari,62,0,0,1,49.2,0,50.9,0,52.74,44.89,23.33,14.41,21,8,69,0.08,3.72,11,7.4,166.9,4.74,557.7,
63,2021,3,Maret,63,0,0,1,45.4,0,60.34,0,57.12,48.51,28.53,14.01,21,8,54,0.1,3.66,6,7.3,144.7,3.54,559.61,
64,2021,4,April,64,1,0,1,46.5,0,59.01,0,55.74,47.65,26.96,17.58,22,8,67,0.11,3.73,3,6.2,192.6,3.83,617.94,
65,2021,5,Mei,65,0,0,1,51.8,0,62.07,0,55.88,48.1,26.76,13.26,15,8,45,0.09,3.67,5,7.8,106.5,4.57,487.76,
66,2021,6,Juni,66,0,0,1,67.0,0,61.34,0,56.21,47.21,26.4,18.72,19,8,52,0.13,3.72,11,6.7,76.8,4.35,540.89,
67,2021,7,Juli,67,0,0,1,94.1,0,65.75,0,57.87,48.92,27.76,14.25,13,8,55,0.25,3.62,9,7.9,95.4,4.24,452.28,
68,2021,8,Agustus,68,0,0,1,86.8,0,72.9,0,54.73,48.05,28.03,12.25,19,8,43,0.37,3.51,10,6.2,122.9,3.58,458.02,
69,2021,9,September,69,0,0,1,60.1,0,73.0,0,60.33,52.17,29.43,15.04,20,8,70,0.12,3.48,11,8.9,75.3,4.02,544.24,
70,2021,10,Oktober,70,0,0,1,32.5,0,78.7,0,60.8,51.43,30.75,12.85,24,8,71,0.29,3.64,4,7.4,194.6,4.8,614.84,
71,2021,11,November,71,0,1,1,14.8,0,79.28,0,60.07,53.17,31.2,13.6,25,8,70,0.26,3.62,5,8.7,245.7,3.55,642.98,
72,2021,12,Desember,72,0,1,1,9.2,0,79.32,0,60.72,53.38,30.81,15.99,23,8,88,0.38,3.49,3,7.4,37.2,4.09,691.35,
73,2022,1,Januari,73,0,0,1,15.7,0,91.73,0,61.1,53.64,34.45,16.41,21,8,87,0.73,3.64,3,6.2,182.3,4.92,616.43,
74,2022,2,Februari,74,0,0,1,15.2,0,96.32,1,67.18,58.67,37.74,14.16,23,8,54,0.62,3.92,10,8.5,160.2,3.58,599.1,
75,2022,3,Maret,75,0,0,1,10.4,0,104.23,1,61.2,55.43,34.89,17.47,21,8,68,0.89,3.93,11,7.9,210.7,4.62,596.27,
76,2022,4,April,76,1,0,1,6.7,0,107.61,1,60.9,55.0,36.79,17.92,23,8,51,0.87,4.11,4,8.3,178.8,3.89,607.85,
77,2022,5,Mei,77,0,0,1,0.9,0,115.45,1,60.28,56.28,39.71,18.57,25,8,63,0.84,4.37,9,7.3,49.2,4.8,583.19,
78,2022,6,Juni,78,0,0,1,0.4,0,119.91,1,59.89,54.79,39.58,16.86,22,8,52,0.82,4.48,7,7.9,66.4,4.62,582.65,
79,2022,7,Juli,79,0,0,1,1.6,0,117.97,1,59.13,54.03,38.86,18.63,25,8,93,0.85,4.67,3,8.6,182.6,4.83,638.12,
80,2022,8,Agustus,80,0,0,1,0.0,0,104.47,1,59.16,52.98,35.41,12.24,25,8,70,0.85,4.82,11,7.9,272.6,3.82,615.27,
81,2022,9,September,81,0,0,1,1.1,1,103.35,1,61.78,55.87,35.95,15.46,21,8,61,1.64,5.02,10,7.0,0.0,4.3,565.47,
82,2022,10,Oktober,82,0,0,1,0.0,1,93.43,1,62.28,55.67,34.21,14.47,26,8,86,1.63,5.25,8,8.0,211.1,4.67,642.03,
83,2022,11,November,83,0,1,1,0.0,0,90.51,1,61.21,55.04,34.89,16.54,25,8,26,0.84,5.34,9,8.0,287.1,3.87,655.0,
84,2022,12,Desember,84,0,1,1,0.0,0,82.25,1,57.95,50.59,31.32,15.26,24,8,30,0.87,5.54,6,8.9,166.2,3.85,653.84,
85,2023,1,Januari,85,0,0,0,0.0,0,85.21,0,63.65,55.69,35.45,16.17,22,8,81,0.4,5.42,10,7.1,229.5,3.54,646.34,
86,2023,2,Februari,86,0,0,0,1.2,0,81.69,0,62.92,54.86,34.31,20.36,21,8,68,0.29,5.58,7,7.3,116.7,4.94,624.49,
87,2023,3,Maret,87,1,0,0,0.0,0,74.53,0,59.5,52.45,30.75,16.36,22,8,72,0.53,5.57,11,8.4,169.3,4.57,686.62,
88,2023,4,April,88,0,0,0,0.0,0,78.8,0,58.4,52.22,30.11,17.63,25,8,44,0.37,5.59,3,7.5,34.1,4.45,652.58,
89,2023,5,Mei,89,0,0,0,1.2,0,75.23,0,62.03,53.78,31.39,16.44,21,8,68,0.46,5.66,4,8.2,0.0,4.62,647.82,
90,2023,6,Juni,90,0,0,0,1.1,0,76.95,0,61.13,53.12,31.81,17.15,25,9,105,0.41,5.73,11,7.4,264.8,4.3,711.89,
91,2023,7,Juli,91,0,0,0,1.7,0,82.78,0,56.52,49.96,30.47,17.11,21,10,84,0.41,5.85,5,6.6,91.4,4.21,693.51,
92,2023,8,Agustus,92,0,0,0,0.0,0,79.91,0,60.77,53.09,31.41,18.1,24,10,73,0.43,5.75,5,8.2,139.0,4.17,727.98,
93,2023,9,September,93,0,0,0,0.0,0,75.65,0,61.55,54.38,32.35,19.63,25,10,63,0.53,5.88,10,6.4,55.2,4.46,738.64,
94,2023,10,Oktober,94,0,0,0,0.0,0,74.46,0,57.82,48.87,28.4,20.69,31,10,64,0.53,5.89,4,6.6,53.1,3.8,775.92,
95,2023,11,November,95,0,1,0,0.0,0,77.35,0,61.67,53.32,31.13,18.12,21,10,33,0.47,5.94,7,7.9,164.4,4.83,713.27,
96,2023,12,Desember,96,0,1,0,0.0,0,73.35,0,56.15,48.41,28.8,18.78,28,10,77,0.45,6.06,5,8.2,114.3,4.72,808.7,
97,2024,1,Januari,97,0,0,0,0.0,0,74.74,0,65.3,55.27,32.06,15.4,25,10,88,0.39,6.03,4,8.7,214.0,4.02,753.13,
98,2024,2,Februari,98,0,0,0,0.0,0,77.44,0,65.36,56.41,33.71,17.62,26,10,45,0.26,6.08,11,6.8,220.7,4.37,713.47,
99,2024,3,Maret,99,1,0,0,1.0,0,79.72,0,60.87,52.69,32.01,19.78,25,10,62,0.44,5.99,4,6.3,208.9,3.71,774.58,
100,2024,4,April,100,0,0,0,0.0,0,77.83,0,62.77,54.73,31.46,19.73,26,10,53,0.32,5.96,3,8.9,201.5,4.96,741.43,
101,2024,5,Mei,101,0,0,0,0.0,0,68.88,0,53.19,46.96,26.59,18.52,25,10,57,0.3,5.99,9,6.5,322.0,4.85,714.24,
102,2024,6,Juni,102,0,0,0,3.2,0,76.41,0,57.98,50.51,31.52,19.97,29,10,76,0.25,6.01,10,6.6,83.9,4.88,770.85,
103,2024,7,Juli,103,0,0,0,0.0,0,75.47,0,60.75,52.3,29.77,19.28,24,10,38,0.19,6.01,4,6.9,175.1,4.0,711.45,
104,2024,8,Agustus,104,0,0,0,1.8,0,76.24,0,58.43,51.02,28.22,20.8,28,10,87,0.15,5.93,9,7.6,281.9,3.75,793.99,
105,2024,9,September,105,0,0,0,0.0,0,79.6,0,64.55,57.23,32.36,19.08,24,11,90,0.25,6.01,7,8.6,293.8,3.82,755.79,
106,2024,10,Oktober,106,0,0,0,0.0,0,68.31,0,67.74,57.99,33.09,17.89,25,12,72,0.23,6.01,10,8.3,52.0,3.64,799.76,
107,2024,11,November,107,0,1,0,0.0,0,72.48,0,58.06,49.92,29.23,19.37,23,12,33,0.35,6.15,4,8.1,151.9,3.68,794.12,
108,2024,12,Desember,108,0,1,0,0.0,0,75.77,0,59.54,52.38,30.9,12.94,27,12,60,0.55,6.11,11,6.5,302.2,3.61,819.8,
109,2025,1,Januari,109,0,0,0,2.1,0,68.92,0,62.46,54.0,32.16,19.67,29,12,101,0.34,5.87,8,7.1,225.7,4.98,835.09,
110,2025,2,Februari,110,0,0,0,0.0,0,77.76,0,67.75,59.61,32.6,11.7,26,12,29,0.23,5.82,10,7.4,197.6,3.61,729.41,
111,2025,3,Maret,111,1,0,0,1.1,0,74.11,0,58.46,50.97,30.4,15.65,25,12,73,0.39,5.66,6,6.4,160.4,3.7,793.95,
112,2025,4,April,112,0,0,0,0.6,0,75.21,0,63.37,55.75,34.35,20.1,23,12,59,0.26,5.63,11,6.8,145.5,4.74,775.64,
113,2025,5,Mei,113,0,0,0,0.0,0,70.62,0,68.08,58.36,32.46,20.26,26,12,95,0.24,5.6,8,6.9,205.9,4.37,834.07,
114,2025,6,Juni,114,0,0,0,0.0,0,74.44,0,57.41,50.09,29.19,17.08,22,12,69,0.3,5.57,4,6.4,157.3,4.66,629.42,Outlier: penurunan omzet tak wajar (contoh: gangguan operasional)
115,2025,7,Juli,115,0,0,0,0.2,0,74.87,0,58.74,51.11,29.44,18.08,24,13,89,0.34,5.37,11,7.7,176.2,4.45,833.46,
116,2025,8,Agustus,116,0,0,0,0.0,0,72.03,0,61.33,52.49,29.66,22.34,27,13,92,0.25,5.29,10,8.1,187.1,4.82,872.4,
117,2025,9,September,117,0,0,0,0.6,0,71.7,0,61.09,52.03,29.93,18.73,30,13,115,0.36,5.12,5,6.2,119.0,4.46,911.02,
118,2025,10,Oktober,118,0,0,0,0.1,0,71.48,0,65.43,57.33,34.56,24.29,34,13,79,0.18,5.16,7,7.4,227.9,4.28,922.26,
119,2025,11,November,119,0,1,0,4.0,0,67.74,0,63.37,54.64,32.97,19.9,25,13,90,0.33,5.02,6,8.3,442.3,4.57,903.57,
120,2025,12,Desember,120,0,1,0,0.0,0,69.56,0,57.18,48.94,27.92,20.82,31,13,57,0.55,4.97,7,8.2,20.1,4.17,924.13,
